Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
10; 0.009090909; 3635; 1903; 3543; -2.309485; -100008.6; 63.20584; 2.037581
10; 0.009090909; 3636; 2010; -1; -0.1198664; -17.41994; 173.0007; 0.2754612
10; 0.009090909; 3592; 1987; -1; 11.32792; 5.713106; 56.14812; 0.2850202
10; 0.009090909; 3637; 1987; 3592; 13.66741; 7.231359; 64.36055; 0.06353132
10; 0.009090909; 3602; 1987; 3592; 2.638859; -0.7419745; 33.80833; 0.2611856
10; 0.009090909; 3638; 1987; 3602; 5.745435; 3.720368; 20.25067; 0.261988
10; 0.009090909; 3639; 2011; -1; 0.3460763; -89.86165; 902.0772; 0.2751265
10; 0.009090909; 3640; 2012; -1; -2.419255; -7.29784; 48.78584; 0.2706559
10; 0.009090909; 3641; 2013; -1; -10.8668; -51.70212; 408.3532; 0.2943462
10; 0.009090909; 3642; 2014; -1; -13.87146; -100024.2; 103.4847; 2.017797
10; 0.009090909; 3643; 2015; -1; -0.4638735; -0.8390935; 3.7522; 0.2753218
10; 0.009090909; 3644; 2016; -1; 0.2409476; -46.00871; 462.4966; 0.2627841
11; 0.008333334; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
11; 0.008333334; 3645; 976; 3383; 117.6103; 98.50963; 191.0067; 0.2568074
11; 0.008333334; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
11; 0.008333334; 3646; 976; 2886; 105.1108; 86.28226; 188.2856; 0.2523527
11; 0.008333334; 3647; 2017; -1; -3.086008; -4.05217; 9.661629; 0.2665144
11; 0.008333334; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
11; 0.008333334; 3648; 1966; 3564; 7.891332; 3.759128; 41.32203; 0.2025473
11; 0.008333334; 3579; 1966; 3564; 31.0386; 26.32946; 47.09132; 0.1809801
11; 0.008333334; 3649; 1966; 3579; 22.26312; -99983.12; 53.8192; 1.693487
11; 0.008333334; 3650; 2018; -1; 1.697488; -148.6026; 1503.001; 0.2801797
11; 0.008333334; 3618; 1903; 3562; 49.65356; 43.61446; 60.39091; 0.09934387
11; 0.008333334; 3651; 1903; 3618; 63.15764; 57.01982; 61.37819; 0.0774074
11; 0.008333334; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
11; 0.008333334; 3652; 1903; 3543; 35.30998; 28.79632; 65.13654; 0.3823905
11; 0.008333334; 3653; 2019; -1; -3.276463; -72.02052; 687.4406; 0.09101961
11; 0.008333334; 3637; 1987; 3592; 13.66741; 7.231359; 64.36055; 0.06353132
11; 0.008333334; 3654; 1987; 3637; 5.218493; -2.821434; 80.39927; 0.02586151
11; 0.008333334; 3592; 1987; -1; 11.32792; 5.713106; 56.14812; 0.2850202
11; 0.008333334; 3655; 1987; 3592; 2.48822; -4.115113; 66.03333; 0.002751173
11; 0.008333334; 3656; 2020; -1; -9.925332; -71.16704; 612.4171; 0.07972127
11; 0.008333334; 3657; 2021; -1; 18.72442; -100025.7; 444.6139; 1.661745
11; 0.008333334; 3658; 2022; -1; 0.230692; -0.7537087; 9.844007; 0.278495
11; 0.008333334; 3659; 2023; -1; 4.946012; -65.35188; 702.9789; 0.03920904
